Name,       RNN,   Size, TBP?, Secondary Structure, Remote Homology Detection, Fluorescence,       Stability
UniRep,     mLSTM, 1900, Yes,  0.73,                0.23,                      0.67,               0.73
LSTM1024,   LSTM,  1024, No,   0.7179167788849986,  0.12534818941504178,       0.6789911565339158, 0.6755691282783165
mLSTM1024,  mLSTM, 1024, No,   0.6961015351467815,  0.15320334261838440,       0.6806568116928764, 0.7264434351853019
GRU1024,    GRU,   1024, No,   0.7032722865607326,  0.14763231197771587,       0.6747573797810124, 0.7356012561605952
LSTM512,    LSTM,  512,  No,   0.7111500134661999,  0.15320334261838440,       0.6747823260223322, 0.7025067398681061
mLSTM512,   mLSTM, 512,  No,   0.6934082951791004,  0.14206128133704735,       0.6768163041138571, 0.7253016197078326
GRU512,     GRU,   512,  No,   0.7089954214920550,  0.12813370473537605,       0.6720893148265297, 0.7077462536477225
LSTM128,    LSTM,  128,  No,   0.7137085914354969,  0.11420612813370473,       0.6679346742475554, 0.7443466201416207
mLSTM128,   mLSTM, 128,  No,   ,                    ,                          ,                   ,
GRU128,     GRU,   128,  No,   0.7039792620522488,  0.12395543175487465,       0.6706068611599660, 0.6956331577659248
LSTM1024T,  LSTM,  1024, Yes,  0.6999057366011312,  0.12256267409470752,       0.6761014103921071, 0.7834206958178966
mLSTM1024T, mLSTM, 1024, Yes,  0.6910180447077835,  0.09470752089136490,       0.6785367621790676, 0.7177126876415322
GRU1024T,   GRU,   1024, Yes,  0.6934419606786965,  0.10306406685236769,       0.6760427260695093, 0.7458982520357492
LSTM512T,   LSTM,  512,  Yes,  0.7055278750336655,  0.07938718662952646,       0.6746333892721316, 0.7599552660496813
mLSTM512T,  mLSTM, 512,  Yes,  0.6948559116617291,  0.11699164345403900,       0.6778630046665767, 0.6980917754082003
GRU512T,    GRU,   512,  Yes,  0.6881228117425262,  0.11002785515320335,       0.6709745936966668, 0.7131513588588986
LSTM128T,   LSTM,  128,  Yes,  0.7002423915970913,  0.08356545961002786,       0.6633063089577409, 0.6563028076592164
mLSTM128T,  mLSTM, 128,  Yes,  0.6982897926205225,  0.08774373259052924,       0.6732102573553254, 0.6969390455298270
GRU128T,    GRU,   128,  Yes,  0.6995690816051711,  0.10863509749303621,       0.6616352035352373, 0.7123159232498815
